Node,GeneratorTechnology,Period,generatorMaxBuildCapacity_in_MW
Portugal,Existing,3,0
Romania,Existing,3,0
Serbia,Existing,3,0
Sweden,Existing,3,0
Slovenia,Existing,3,0
Slovakia,Existing,3,0
Austria,Existing,4,0
BosniaH,Existing,4,0
Belgium,Existing,4,0
Bulgaria,Existing,4,0
Switzerland,Existing,4,0
CzechR,Existing,4,0
Germany,Existing,4,0
Denmark,Existing,4,0
Estonia,Existing,4,0
Spain,Existing,4,0
Finland,Existing,4,0
France,Existing,4,0
GreatBrit.,Existing,4,0
Greece,Existing,4,0
Croatia,Existing,4,0
Hungary,Existing,4,0
Ireland,Existing,4,0
Italy,Existing,4,0
Lithuania,Existing,4,0
Luxemb.,Existing,4,0
Latvia,Existing,4,0
Macedonia,Existing,4,0
Netherlands,Existing,4,0
NO1,Existing,4,0
NO2,Existing,4,0
NO3,Existing,4,0
NO4,Existing,4,0
NO5,Existing,4,0
Poland,Existing,4,0
Portugal,Existing,4,0
Romania,Existing,4,0
Serbia,Existing,4,0
Sweden,Existing,4,0
Slovenia,Existing,4,0
Slovakia,Existing,4,0
Austria,Existing,5,0
BosniaH,Existing,5,0
Belgium,Existing,5,0
Bulgaria,Existing,5,0
Switzerland,Existing,5,0
CzechR,Existing,5,0
Germany,Existing,5,0
Denmark,Existing,5,0
Estonia,Existing,5,0
Spain,Existing,5,0
Finland,Existing,5,0
France,Existing,5,0
GreatBrit.,Existing,5,0
Greece,Existing,5,0
Croatia,Existing,5,0
Hungary,Existing,5,0
Ireland,Existing,5,0
Italy,Existing,5,0
Lithuania,Existing,5,0
Luxemb.,Existing,5,0
Latvia,Existing,5,0
Macedonia,Existing,5,0
Netherlands,Existing,5,0
NO1,Existing,5,0
NO2,Existing,5,0
NO3,Existing,5,0
NO4,Existing,5,0
NO5,Existing,5,0
Poland,Existing,5,0
Portugal,Existing,5,0
Romania,Existing,5,0
Serbia,Existing,5,0
Sweden,Existing,5,0
Slovenia,Existing,5,0
Slovakia,Existing,5,0
Austria,Existing,6,0
BosniaH,Existing,6,0
Belgium,Existing,6,0
Bulgaria,Existing,6,0
Switzerland,Existing,6,0
CzechR,Existing,6,0
Germany,Existing,6,0
Denmark,Existing,6,0
Estonia,Existing,6,0
Spain,Existing,6,0
Finland,Existing,6,0
France,Existing,6,0
GreatBrit.,Existing,6,0
Greece,Existing,6,0
Croatia,Existing,6,0
Hungary,Existing,6,0
Ireland,Existing,6,0
Italy,Existing,6,0
Lithuania,Existing,6,0
Luxemb.,Existing,6,0
Latvia,Existing,6,0
Macedonia,Existing,6,0
Netherlands,Existing,6,0
NO1,Existing,6,0
NO2,Existing,6,0
NO3,Existing,6,0
NO4,Existing,6,0
NO5,Existing,6,0
Poland,Existing,6,0
Portugal,Existing,6,0
Romania,Existing,6,0
Serbia,Existing,6,0
Sweden,Existing,6,0
Slovenia,Existing,6,0
Slovakia,Existing,6,0
Austria,Existing,7,0
BosniaH,Existing,7,0
Belgium,Existing,7,0
Bulgaria,Existing,7,0
Switzerland,Existing,7,0
CzechR,Existing,7,0
Germany,Existing,7,0
Denmark,Existing,7,0
Estonia,Existing,7,0
Spain,Existing,7,0
Finland,Existing,7,0
France,Existing,7,0
GreatBrit.,Existing,7,0
Greece,Existing,7,0
Croatia,Existing,7,0
Hungary,Existing,7,0
Ireland,Existing,7,0
Italy,Existing,7,0
Lithuania,Existing,7,0
Luxemb.,Existing,7,0
Latvia,Existing,7,0
Macedonia,Existing,7,0
Netherlands,Existing,7,0
NO1,Existing,7,0
NO2,Existing,7,0
NO3,Existing,7,0
NO4,Existing,7,0
NO5,Existing,7,0
Poland,Existing,7,0
Portugal,Existing,7,0
Romania,Existing,7,0
Serbia,Existing,7,0
Sweden,Existing,7,0
Slovenia,Existing,7,0
Slovakia,Existing,7,0
Austria,Existing,8,0
BosniaH,Existing,8,0
Belgium,Existing,8,0
Bulgaria,Existing,8,0
Switzerland,Existing,8,0
CzechR,Existing,8,0
Germany,Existing,8,0
Denmark,Existing,8,0
Estonia,Existing,8,0
Spain,Existing,8,0
Finland,Existing,8,0
France,Existing,8,0
GreatBrit.,Existing,8,0
Greece,Existing,8,0
Croatia,Existing,8,0
Hungary,Existing,8,0
Ireland,Existing,8,0
Italy,Existing,8,0
Lithuania,Existing,8,0
Luxemb.,Existing,8,0
Latvia,Existing,8,0
Macedonia,Existing,8,0
Netherlands,Existing,8,0
NO1,Existing,8,0
NO2,Existing,8,0
NO3,Existing,8,0
NO4,Existing,8,0
NO5,Existing,8,0
Poland,Existing,8,0
Portugal,Existing,8,0
Romania,Existing,8,0
Serbia,Existing,8,0
Sweden,Existing,8,0
Slovenia,Existing,8,0
Slovakia,Existing,8,0
Austria,CCS,1,0
BosniaH,CCS,1,0
Belgium,CCS,1,0
Bulgaria,CCS,1,0
Switzerland,CCS,1,0
CzechR,CCS,1,0
Germany,CCS,1,0
Denmark,CCS,1,0
Estonia,CCS,1,0
Spain,CCS,1,0
Finland,CCS,1,0
France,CCS,1,0
GreatBrit.,CCS,1,0
Greece,CCS,1,0
Croatia,CCS,1,0
Hungary,CCS,1,0
Ireland,CCS,1,0
Italy,CCS,1,0
Lithuania,CCS,1,0
Luxemb.,CCS,1,0
Latvia,CCS,1,0
Macedonia,CCS,1,0
Netherlands,CCS,1,0
NO1,CCS,1,0
NO2,CCS,1,0
NO3,CCS,1,0
NO4,CCS,1,0
NO5,CCS,1,0
Poland,CCS,1,0
Portugal,CCS,1,0
Romania,CCS,1,0
Serbia,CCS,1,0
Sweden,CCS,1,0
Slovenia,CCS,1,0
Slovakia,CCS,1,0
Austria,CCS,2,0
BosniaH,CCS,2,0
Belgium,CCS,2,0
Bulgaria,CCS,2,0
Switzerland,CCS,2,0
CzechR,CCS,2,0
Germany,CCS,2,0
Denmark,CCS,2,0
Estonia,CCS,2,0
Spain,CCS,2,0
Finland,CCS,2,0
France,CCS,2,0
GreatBrit.,CCS,2,0
Greece,CCS,2,0
Croatia,CCS,2,0
Hungary,CCS,2,0
Ireland,CCS,2,0
Italy,CCS,2,0
Lithuania,CCS,2,0
Luxemb.,CCS,2,0
Latvia,CCS,2,0
Macedonia,CCS,2,0
Netherlands,CCS,2,0
NO1,CCS,2,0
NO2,CCS,2,0
NO3,CCS,2,0
NO4,CCS,2,0
NO5,CCS,2,0
Poland,CCS,2,0
Portugal,CCS,2,0
Romania,CCS,2,0
Serbia,CCS,2,0
Sweden,CCS,2,0
Slovenia,CCS,2,0
Slovakia,CCS,2,0
Austria,CCS,3,0
BosniaH,CCS,3,0
Belgium,CCS,3,0
Bulgaria,CCS,3,0
Switzerland,CCS,3,0
CzechR,CCS,3,0
Germany,CCS,3,0
Denmark,CCS,3,0
Estonia,CCS,3,0
Spain,CCS,3,0
Finland,CCS,3,0
France,CCS,3,0
GreatBrit.,CCS,3,0
Greece,CCS,3,0
Croatia,CCS,3,0
Hungary,CCS,3,0
Ireland,CCS,3,0
Italy,CCS,3,0
Lithuania,CCS,3,0
Luxemb.,CCS,3,0
Latvia,CCS,3,0
Macedonia,CCS,3,0
Netherlands,CCS,3,0
NO1,CCS,3,0
NO2,CCS,3,0
NO3,CCS,3,0
NO4,CCS,3,0
NO5,CCS,3,0
Poland,CCS,3,0
Portugal,CCS,3,0
Romania,CCS,3,0
Serbia,CCS,3,0
Sweden,CCS,3,0
Slovenia,CCS,3,0
Slovakia,CCS,3,0
Austria,CCS,4,0
BosniaH,CCS,4,0
Belgium,CCS,4,0
Bulgaria,CCS,4,0
Switzerland,CCS,4,0
CzechR,CCS,4,0
Germany,CCS,4,0
Denmark,CCS,4,0
Estonia,CCS,4,0
Spain,CCS,4,0
Finland,CCS,4,0
France,CCS,4,0
GreatBrit.,CCS,4,0
Greece,CCS,4,0
Croatia,CCS,4,0
Hungary,CCS,4,0
Ireland,CCS,4,0
Italy,CCS,4,0
Lithuania,CCS,4,0
Luxemb.,CCS,4,0
Latvia,CCS,4,0
Macedonia,CCS,4,0
Netherlands,CCS,4,0
NO1,CCS,4,0
NO2,CCS,4,0
NO3,CCS,4,0
NO4,CCS,4,0
NO5,CCS,4,0
Poland,CCS,4,0
Portugal,CCS,4,0
Romania,CCS,4,0
Serbia,CCS,4,0
Sweden,CCS,4,0
Slovenia,CCS,4,0
Slovakia,CCS,4,0
Austria,CCS,5,0
BosniaH,CCS,5,0
Belgium,CCS,5,0
Bulgaria,CCS,5,0
Switzerland,CCS,5,0
CzechR,CCS,5,0
Germany,CCS,5,0
Denmark,CCS,5,0
Estonia,CCS,5,0
Spain,CCS,5,0
Finland,CCS,5,0
France,CCS,5,0
GreatBrit.,CCS,5,0
Greece,CCS,5,0
Croatia,CCS,5,0
Hungary,CCS,5,0
Ireland,CCS,5,0
Italy,CCS,5,0
Lithuania,CCS,5,0
Luxemb.,CCS,5,0
Latvia,CCS,5,0
Macedonia,CCS,5,0
Netherlands,CCS,5,0
NO1,CCS,5,0
NO2,CCS,5,0
NO3,CCS,5,0
NO4,CCS,5,0
NO5,CCS,5,0
Poland,CCS,5,0
Portugal,CCS,5,0
Romania,CCS,5,0
Serbia,CCS,5,0
Sweden,CCS,5,0
Slovenia,CCS,5,0
Slovakia,CCS,5,0
Austria,CCS,6,0
BosniaH,CCS,6,0
Belgium,CCS,6,0
Bulgaria,CCS,6,0
Switzerland,CCS,6,0
CzechR,CCS,6,0
Germany,CCS,6,0
Denmark,CCS,6,0
Estonia,CCS,6,0
Spain,CCS,6,0
Finland,CCS,6,0
France,CCS,6,0
GreatBrit.,CCS,6,0
Greece,CCS,6,0
Croatia,CCS,6,0
Hungary,CCS,6,0
Ireland,CCS,6,0
Italy,CCS,6,0
Lithuania,CCS,6,0
Luxemb.,CCS,6,0
Latvia,CCS,6,0
Macedonia,CCS,6,0
Netherlands,CCS,6,0
NO1,CCS,6,0
NO2,CCS,6,0
NO3,CCS,6,0
NO4,CCS,6,0
NO5,CCS,6,0
Poland,CCS,6,0
Portugal,CCS,6,0
Romania,CCS,6,0
Serbia,CCS,6,0
Sweden,CCS,6,0
Slovenia,CCS,6,0
Slovakia,CCS,6,0
Austria,CCS,7,0
BosniaH,CCS,7,0
Belgium,CCS,7,0
Bulgaria,CCS,7,0
Switzerland,CCS,7,0
CzechR,CCS,7,0
Germany,CCS,7,0
Denmark,CCS,7,0
Estonia,CCS,7,0
Spain,CCS,7,0
Finland,CCS,7,0
France,CCS,7,0
GreatBrit.,CCS,7,0
Greece,CCS,7,0
Croatia,CCS,7,0
Hungary,CCS,7,0
Ireland,CCS,7,0
Italy,CCS,7,0
Lithuania,CCS,7,0
Luxemb.,CCS,7,0
Latvia,CCS,7,0
Macedonia,CCS,7,0
Netherlands,CCS,7,0
NO1,CCS,7,0
NO2,CCS,7,0
NO3,CCS,7,0
NO4,CCS,7,0
NO5,CCS,7,0
Poland,CCS,7,0
Portugal,CCS,7,0
Romania,CCS,7,0
Serbia,CCS,7,0
Sweden,CCS,7,0
Slovenia,CCS,7,0
Slovakia,CCS,7,0
Austria,CCS,8,0
BosniaH,CCS,8,0
Belgium,CCS,8,0
Bulgaria,CCS,8,0
Switzerland,CCS,8,0
CzechR,CCS,8,0
Germany,CCS,8,0
Denmark,CCS,8,0
Estonia,CCS,8,0
Spain,CCS,8,0
Finland,CCS,8,0
France,CCS,8,0
GreatBrit.,CCS,8,0
Greece,CCS,8,0
Croatia,CCS,8,0
Hungary,CCS,8,0
Ireland,CCS,8,0
Italy,CCS,8,0
Lithuania,CCS,8,0
Luxemb.,CCS,8,0
Latvia,CCS,8,0
Macedonia,CCS,8,0
Netherlands,CCS,8,0
NO1,CCS,8,0
NO2,CCS,8,0
NO3,CCS,8,0
NO4,CCS,8,0
NO5,CCS,8,0
Poland,CCS,8,0
Portugal,CCS,8,0
Romania,CCS,8,0
Serbia,CCS,8,0
Sweden,CCS,8,0
Slovenia,CCS,8,0
Slovakia,CCS,8,0
