Node,GeneratorTechnology,generatoReferenceInitialCapacity_in_MW
Macedonia,Gasexisting,251.0
Macedonia,Oilexisting,189.0
Macedonia,Bioexisting,7.0
Macedonia,Hydroregulated,644.0
Macedonia,Hydrorun-of-the-river,109.0
Macedonia,Windonshore,37.0
Macedonia,Solar,94.0
Netherlands,Coalexisting,4006.0
Netherlands,Gasexisting,18530.0
Netherlands,Bioexisting,572.0
Netherlands,Nuclear,486.0
Netherlands,Waste,763.0
Netherlands,Hydrorun-of-the-river,38.0
Netherlands,Windonshore,7303.0
Netherlands,Windoffshoregrounded,0.0
Netherlands,Solar,16074.0
Poland,Liginiteexisting,7560.0
Poland,Coalexisting,19066.0
Poland,Gasexisting,3705.0
Poland,Oilexisting,393.0
Poland,Bioexisting,642.0
Poland,Waste,0.0
Poland,Hydroregulated,469.0
Poland,Hydrorun-of-the-river,322.0
Poland,Windonshore,7886.0
Poland,Solar,6036.0
Portugal,Coalexisting,576.0
Portugal,Gasexisting,4580.0
Portugal,Oilexisting,0.0
Portugal,Bioexisting,684.0
Portugal,Hydroregulated,1515.0
Portugal,Hydrorun-of-the-river,2857.0
Portugal,Windonshore,5234.0
Portugal,Solar,861.0
Romania,Liginiteexisting,2497.0
Romania,Coalexisting,176.0
Romania,Gasexisting,2218.0
Romania,Bioexisting,116.0
Romania,Nuclear,1300.0
Romania,Hydroregulated,3357.0
Romania,Hydrorun-of-the-river,2780.0
Romania,Windonshore,2957.0
Romania,Solar,1160.0
Serbia,Liginiteexisting,5661.0
Serbia,Gasexisting,486.0
Serbia,Hydrorun-of-the-river,2018.0
Serbia,Hydroregulated,473.0
Serbia,Windonshore,397.0
Sweden,Coalexisting,0.0
Sweden,Gasexisting,1573.0
Sweden,Oilexisting,905.0
Sweden,Bioexisting,5299.0
Sweden,Waste,4613.0
Sweden,Nuclear,7725.0
Sweden,Hydroregulated,16479.0
Sweden,Solar,1417.0
Sweden,Windonshore,9688.0
Slovenia,Liginiteexisting,936.0
Slovenia,Gasexisting,626.0
Slovenia,Bioexisting,13.0
Slovenia,Waste,36.0
Slovenia,Nuclear,696.0
Slovenia,Hydrorun-of-the-river,1127.0
Slovenia,Windonshore,2.0
Slovenia,Solar,286.0
Slovakia,Liginiteexisting,0.0
Slovakia,Coalexisting,2411.0
Slovakia,Gasexisting,0.0
Slovakia,Oilexisting,0.0
Slovakia,Bioexisting,225.0
Slovakia,Waste,6.0
Slovakia,Nuclear,1971.0
Slovakia,Hydrorun-of-the-river,1208.0
Slovakia,Hydroregulated,318.0
Slovakia,Windonshore,3.0
Slovakia,Solar,535.0
NO1,Gasexisting,70.46000000000001
NO1,Waste,0.0
NO1,Bioexisting,7.800000000000001
NO1,Hydroregulated,1172.0
NO1,Hydrorun-of-the-river,2520.0
NO1,Windonshore,384.70000000000005
NO1,Solar,89.0
NO2,Gasexisting,178.86
NO2,Waste,0.0
NO2,Bioexisting,19.8
NO2,Hydroregulated,8834.0
NO2,Hydrorun-of-the-river,2342.0
NO2,Windonshore,1427.05
NO2,Solar,48.0
NO3,Gasexisting,81.3
NO3,Waste,0.0
NO3,Bioexisting,9.0
NO3,Hydroregulated,2177.0
NO3,Hydrorun-of-the-river,2537.0
NO3,Windonshore,2111.875
NO3,Solar,22.0
NO4,Gasexisting,97.56
NO4,Waste,0.0
NO4,Bioexisting,10.799999999999999
NO4,Hydroregulated,3479.0
NO4,Hydrorun-of-the-river,1728.0
NO4,Windonshore,1159.25
NO4,Solar,3.0
NO5,Gasexisting,113.82
NO5,Waste,0.0
NO5,Bioexisting,12.6
NO5,Hydroregulated,6470.0
NO5,Hydrorun-of-the-river,1601.0
NO5,Windonshore,0.0
NO5,Solar,13.0
France,Hydroregulated,8785.0
BosniaH,Hydrorun-of-the-river,291.0
Croatia,Geo,10.0
Luxemb.,Hydrorun-of-the-river,25.0
Serbia,Solar,3.0
MorayFirth,Windoffshoregrounded,588.0
FirthofForth,Windoffshoregrounded,93.2
DoggerBank,Windoffshoregrounded,0.0
Hornsea,Windoffshoregrounded,1218.0
OuterDowsing,Windoffshoregrounded,2185.5
Norfolk,Windoffshoregrounded,60.0
EastAnglia,Windoffshoregrounded,2812.3
Borssele,Windoffshoregrounded,3739.3
HollandseeKust,Windoffshoregrounded,357.0
HelgolanderBucht,Windoffshoregrounded,7166.0
Nordsoen,Windoffshoregrounded,1120.0
UtsiraNord,Windoffshoregrounded,0.0
SorligeNordsjoI,Windoffshoregrounded,0.0
SorligeNordsjoII,Windoffshoregrounded,0.0
MorayFirth,Windoffshorefloating,0.0
FirthofForth,Windoffshorefloating,30.0
UtsiraNord,Windoffshorefloating,0.0
Belgium,Windoffshorefloating,0.0
Germany,Windoffshorefloating,0.0
Denmark,Windoffshorefloating,0.0
GreatBrit.,Windoffshorefloating,0.0
Netherlands,Windoffshorefloating,0.0
