FromNode,ToNode,Period,TransmissionInitialCapacity
Italy,France,2,1822.5
Ireland,GreatBrit.,2,410.0
Italy,Greece,2,500.0
Macedonia,Greece,2,300.0
Hungary,Croatia,2,700.0
Serbia,Croatia,2,425.0
Slovenia,Croatia,2,900.0
Romania,Hungary,2,700.0
Serbia,Hungary,2,600.0
Slovakia,Hungary,2,800.0
Slovenia,Italy,2,295.0
Latvia,Lithuania,2,1400.0
Serbia,Macedonia,2,425.0
Sweden,Poland,2,350.0
Slovakia,Poland,2,500.0
Serbia,Romania,2,475.0
GreatBrit.,Belgium,2,0.0
Netherlands,GreatBrit.,2,1000.0
Sweden,Lithuania,2,0.0
Netherlands,Denmark,2,0.0
Poland,Lithuania,2,700.0
GreatBrit.,Denmark,2,1400.0
Italy,BosniaH,2,0.0
Italy,Croatia,2,0.0
Slovakia,Austria,2,0.0
Germany,Belgium,2,0.0
Italy,Germany,2,0.0
Poland,Denmark,2,0.0
Sweden,Estonia,2,0.0
Ireland,Spain,2,0.0
Ireland,France,2,0.0
Luxemb.,France,2,0.0
Poland,Hungary,2,0.0
Slovenia,Hungary,2,0.0
Sweden,Latvia,2,0.0
Switzerland,Austria,3,835.0
CzechR,Austria,3,650.0
Germany,Austria,3,1900.0
Hungary,Austria,3,425.0
Italy,Austria,3,152.5
Slovenia,Austria,3,650.0
Croatia,BosniaH,3,615.0
Serbia,BosniaH,3,390.0
France,Belgium,3,2700.0
Luxemb.,Belgium,3,1000.0
Netherlands,Belgium,3,2400.0
Greece,Bulgaria,3,550.0
Macedonia,Bulgaria,3,400.0
Romania,Bulgaria,3,750.0
Serbia,Bulgaria,3,475.0
Germany,Switzerland,3,3500.0
France,Switzerland,3,2750.0
Italy,Switzerland,3,3025.0
Germany,CzechR,3,1525.0
Poland,CzechR,3,800.0
Slovakia,CzechR,3,2100.0
Denmark,Germany,3,1500.0
France,Germany,3,2825.0
Luxemb.,Germany,3,980.0
Netherlands,Germany,3,3425.0
Poland,Germany,3,1150.0
Sweden,Germany,3,600.0
Sweden,Denmark,3,2210.0
Finland,Estonia,3,1000.0
Latvia,Estonia,3,750.0
France,Spain,3,950.0
Portugal,Spain,3,1250.0
Sweden,Finland,3,1800.0
GreatBrit.,France,3,2000.0
Italy,France,3,1822.5
Ireland,GreatBrit.,3,410.0
Italy,Greece,3,500.0
Macedonia,Greece,3,300.0
Hungary,Croatia,3,700.0
Serbia,Croatia,3,425.0
Slovenia,Croatia,3,900.0
Romania,Hungary,3,700.0
Serbia,Hungary,3,600.0
Slovakia,Hungary,3,800.0
Slovenia,Italy,3,295.0
Latvia,Lithuania,3,1400.0
Serbia,Macedonia,3,425.0
Sweden,Poland,3,350.0
Slovakia,Poland,3,500.0
Serbia,Romania,3,475.0
GreatBrit.,Belgium,3,0.0
Netherlands,GreatBrit.,3,1000.0
Sweden,Lithuania,3,0.0
Netherlands,Denmark,3,0.0
Poland,Lithuania,3,700.0
GreatBrit.,Denmark,3,1400.0
Italy,BosniaH,3,0.0
Italy,Croatia,3,0.0
Slovakia,Austria,3,0.0
Germany,Belgium,3,0.0
Italy,Germany,3,0.0
Poland,Denmark,3,0.0
Sweden,Estonia,3,0.0
Ireland,Spain,3,0.0
Ireland,France,3,0.0
Luxemb.,France,3,0.0
Poland,Hungary,3,0.0
Slovenia,Hungary,3,0.0
Sweden,Latvia,3,0.0
Switzerland,Austria,4,835.0
CzechR,Austria,4,650.0
Germany,Austria,4,1900.0
Hungary,Austria,4,425.0
Italy,Austria,4,152.5
Slovenia,Austria,4,650.0
Croatia,BosniaH,4,615.0
Serbia,BosniaH,4,390.0
France,Belgium,4,2700.0
Luxemb.,Belgium,4,1000.0
Netherlands,Belgium,4,2400.0
Greece,Bulgaria,4,550.0
Macedonia,Bulgaria,4,400.0
Romania,Bulgaria,4,750.0
Serbia,Bulgaria,4,475.0
Germany,Switzerland,4,3500.0
France,Switzerland,4,2750.0
Italy,Switzerland,4,3025.0
Germany,CzechR,4,1525.0
Poland,CzechR,4,800.0
Slovakia,CzechR,4,2100.0
Denmark,Germany,4,1500.0
France,Germany,4,2825.0
Luxemb.,Germany,4,980.0
Netherlands,Germany,4,3425.0
Poland,Germany,4,1150.0
Sweden,Germany,4,600.0
Sweden,Denmark,4,2210.0
Finland,Estonia,4,1000.0
Latvia,Estonia,4,750.0
France,Spain,4,950.0
Portugal,Spain,4,1250.0
Sweden,Finland,4,1800.0
GreatBrit.,France,4,2000.0
Italy,France,4,1822.5
Ireland,GreatBrit.,4,410.0
Italy,Greece,4,500.0
Macedonia,Greece,4,300.0
Hungary,Croatia,4,700.0
Serbia,Croatia,4,425.0
Slovenia,Croatia,4,900.0
Romania,Hungary,4,700.0
Serbia,Hungary,4,600.0
Slovakia,Hungary,4,800.0
Slovenia,Italy,4,295.0
Latvia,Lithuania,4,1400.0
Serbia,Macedonia,4,425.0
Sweden,Poland,4,350.0
Slovakia,Poland,4,500.0
Serbia,Romania,4,475.0
GreatBrit.,Belgium,4,0.0
Netherlands,GreatBrit.,4,1000.0
Sweden,Lithuania,4,0.0
Netherlands,Denmark,4,0.0
Poland,Lithuania,4,700.0
GreatBrit.,Denmark,4,1400.0
Italy,BosniaH,4,0.0
Italy,Croatia,4,0.0
Slovakia,Austria,4,0.0
Germany,Belgium,4,0.0
Italy,Germany,4,0.0
Poland,Denmark,4,0.0
Sweden,Estonia,4,0.0
Ireland,Spain,4,0.0
Ireland,France,4,0.0
Luxemb.,France,4,0.0
Poland,Hungary,4,0.0
Slovenia,Hungary,4,0.0
Sweden,Latvia,4,0.0
Switzerland,Austria,5,835.0
CzechR,Austria,5,650.0
Germany,Austria,5,1900.0
Hungary,Austria,5,425.0
Italy,Austria,5,152.5
Slovenia,Austria,5,650.0
Croatia,BosniaH,5,615.0
Serbia,BosniaH,5,390.0
France,Belgium,5,2700.0
Luxemb.,Belgium,5,1000.0
Netherlands,Belgium,5,2400.0
Greece,Bulgaria,5,550.0
Macedonia,Bulgaria,5,400.0
Romania,Bulgaria,5,750.0
Serbia,Bulgaria,5,475.0
Germany,Switzerland,5,3500.0
France,Switzerland,5,2750.0
Italy,Switzerland,5,3025.0
Germany,CzechR,5,1525.0
Poland,CzechR,5,800.0
Slovakia,CzechR,5,2100.0
Denmark,Germany,5,1500.0
France,Germany,5,2825.0
Luxemb.,Germany,5,980.0
Netherlands,Germany,5,3425.0
Poland,Germany,5,1150.0
Sweden,Germany,5,600.0
Sweden,Denmark,5,2210.0
Finland,Estonia,5,1000.0
Latvia,Estonia,5,750.0
France,Spain,5,950.0
Portugal,Spain,5,1250.0
Sweden,Finland,5,1800.0
GreatBrit.,France,5,2000.0
Italy,France,5,1822.5
Ireland,GreatBrit.,5,410.0
Italy,Greece,5,500.0
Macedonia,Greece,5,300.0
Hungary,Croatia,5,700.0
Serbia,Croatia,5,425.0
Slovenia,Croatia,5,900.0
Romania,Hungary,5,700.0
Serbia,Hungary,5,600.0
Slovakia,Hungary,5,800.0
Slovenia,Italy,5,295.0
Latvia,Lithuania,5,1400.0
Serbia,Macedonia,5,425.0
Sweden,Poland,5,350.0
Slovakia,Poland,5,500.0
Serbia,Romania,5,475.0
GreatBrit.,Belgium,5,0.0
Netherlands,GreatBrit.,5,1000.0
Sweden,Lithuania,5,0.0
Netherlands,Denmark,5,0.0
Poland,Lithuania,5,700.0
GreatBrit.,Denmark,5,1400.0
Italy,BosniaH,5,0.0
Italy,Croatia,5,0.0
Slovakia,Austria,5,0.0
Germany,Belgium,5,0.0
Italy,Germany,5,0.0
Poland,Denmark,5,0.0
Sweden,Estonia,5,0.0
Ireland,Spain,5,0.0
Ireland,France,5,0.0
Luxemb.,France,5,0.0
Poland,Hungary,5,0.0
Slovenia,Hungary,5,0.0
Sweden,Latvia,5,0.0
Switzerland,Austria,6,835.0
CzechR,Austria,6,650.0
Germany,Austria,6,1900.0
Hungary,Austria,6,425.0
Italy,Austria,6,152.5
Slovenia,Austria,6,650.0
Croatia,BosniaH,6,615.0
Serbia,BosniaH,6,390.0
France,Belgium,6,2700.0
Luxemb.,Belgium,6,1000.0
Netherlands,Belgium,6,2400.0
Greece,Bulgaria,6,550.0
Macedonia,Bulgaria,6,400.0
Romania,Bulgaria,6,750.0
Serbia,Bulgaria,6,475.0
Germany,Switzerland,6,3500.0
France,Switzerland,6,2750.0
Italy,Switzerland,6,3025.0
Germany,CzechR,6,1525.0
Poland,CzechR,6,800.0
Slovakia,CzechR,6,2100.0
Denmark,Germany,6,1500.0
France,Germany,6,2825.0
Luxemb.,Germany,6,980.0
Netherlands,Germany,6,3425.0
Poland,Germany,6,1150.0
Sweden,Germany,6,600.0
Sweden,Denmark,6,2210.0
Finland,Estonia,6,1000.0
Latvia,Estonia,6,750.0
France,Spain,6,950.0
Portugal,Spain,6,1250.0
Sweden,Finland,6,1800.0
GreatBrit.,France,6,2000.0
Italy,France,6,1822.5
Ireland,GreatBrit.,6,410.0
Italy,Greece,6,500.0
Macedonia,Greece,6,300.0
Hungary,Croatia,6,700.0
Serbia,Croatia,6,425.0
Slovenia,Croatia,6,900.0
Romania,Hungary,6,700.0
Serbia,Hungary,6,600.0
Slovakia,Hungary,6,800.0
Slovenia,Italy,6,295.0
Latvia,Lithuania,6,1400.0
Serbia,Macedonia,6,425.0
Sweden,Poland,6,350.0
Slovakia,Poland,6,500.0
Serbia,Romania,6,475.0
GreatBrit.,Belgium,6,0.0
Netherlands,GreatBrit.,6,1000.0
Sweden,Lithuania,6,0.0
Netherlands,Denmark,6,0.0
Poland,Lithuania,6,700.0
GreatBrit.,Denmark,6,1400.0
Italy,BosniaH,6,0.0
Italy,Croatia,6,0.0
Slovakia,Austria,6,0.0
Germany,Belgium,6,0.0
Italy,Germany,6,0.0
Poland,Denmark,6,0.0
Sweden,Estonia,6,0.0
Ireland,Spain,6,0.0
Ireland,France,6,0.0
Luxemb.,France,6,0.0
Poland,Hungary,6,0.0
Slovenia,Hungary,6,0.0
Sweden,Latvia,6,0.0
Switzerland,Austria,7,835.0
CzechR,Austria,7,650.0
Germany,Austria,7,1900.0
Hungary,Austria,7,425.0
Italy,Austria,7,152.5
Slovenia,Austria,7,650.0
Croatia,BosniaH,7,615.0
Serbia,BosniaH,7,390.0
France,Belgium,7,2700.0
Luxemb.,Belgium,7,1000.0
Netherlands,Belgium,7,2400.0
Greece,Bulgaria,7,550.0
Macedonia,Bulgaria,7,400.0
Romania,Bulgaria,7,750.0
Serbia,Bulgaria,7,475.0
Germany,Switzerland,7,3500.0
France,Switzerland,7,2750.0
Italy,Switzerland,7,3025.0
Germany,CzechR,7,1525.0
Poland,CzechR,7,800.0
Slovakia,CzechR,7,2100.0
Denmark,Germany,7,1500.0
France,Germany,7,2825.0
Luxemb.,Germany,7,980.0
Netherlands,Germany,7,3425.0
Poland,Germany,7,1150.0
Sweden,Germany,7,600.0
Sweden,Denmark,7,2210.0
Finland,Estonia,7,1000.0
Latvia,Estonia,7,750.0
France,Spain,7,950.0
Portugal,Spain,7,1250.0
Sweden,Finland,7,1800.0
GreatBrit.,France,7,2000.0
Italy,France,7,1822.5
Ireland,GreatBrit.,7,410.0
Italy,Greece,7,500.0
Macedonia,Greece,7,300.0
Hungary,Croatia,7,700.0
Serbia,Croatia,7,425.0
Slovenia,Croatia,7,900.0
Romania,Hungary,7,700.0
Serbia,Hungary,7,600.0
Slovakia,Hungary,7,800.0
Slovenia,Italy,7,295.0
Latvia,Lithuania,7,1400.0
Serbia,Macedonia,7,425.0
Sweden,Poland,7,350.0
Slovakia,Poland,7,500.0
Serbia,Romania,7,475.0
GreatBrit.,Belgium,7,0.0
Netherlands,GreatBrit.,7,1000.0
Sweden,Lithuania,7,0.0
Netherlands,Denmark,7,0.0
Poland,Lithuania,7,700.0
GreatBrit.,Denmark,7,1400.0
Italy,BosniaH,7,0.0
Italy,Croatia,7,0.0
Slovakia,Austria,7,0.0
Germany,Belgium,7,0.0
Italy,Germany,7,0.0
Poland,Denmark,7,0.0
Sweden,Estonia,7,0.0
Ireland,Spain,7,0.0
Ireland,France,7,0.0
Luxemb.,France,7,0.0
Poland,Hungary,7,0.0
Slovenia,Hungary,7,0.0
Sweden,Latvia,7,0.0
Switzerland,Austria,8,835.0
CzechR,Austria,8,650.0
Germany,Austria,8,1900.0
Hungary,Austria,8,425.0
Italy,Austria,8,152.5
Slovenia,Austria,8,650.0
Croatia,BosniaH,8,615.0
Serbia,BosniaH,8,390.0
France,Belgium,8,2700.0
Luxemb.,Belgium,8,1000.0
Netherlands,Belgium,8,2400.0
Greece,Bulgaria,8,550.0
Macedonia,Bulgaria,8,400.0
Romania,Bulgaria,8,750.0
Serbia,Bulgaria,8,475.0
Germany,Switzerland,8,3500.0
France,Switzerland,8,2750.0
Italy,Switzerland,8,3025.0
Germany,CzechR,8,1525.0
Poland,CzechR,8,800.0
Slovakia,CzechR,8,2100.0
Denmark,Germany,8,1500.0
France,Germany,8,2825.0
Luxemb.,Germany,8,980.0
Netherlands,Germany,8,3425.0
Poland,Germany,8,1150.0
Sweden,Germany,8,600.0
Sweden,Denmark,8,2210.0
Finland,Estonia,8,1000.0
Latvia,Estonia,8,750.0
France,Spain,8,950.0
Portugal,Spain,8,1250.0
Sweden,Finland,8,1800.0
GreatBrit.,France,8,2000.0
Italy,France,8,1822.5
Ireland,GreatBrit.,8,410.0
Italy,Greece,8,500.0
Macedonia,Greece,8,300.0
Hungary,Croatia,8,700.0
Serbia,Croatia,8,425.0
Slovenia,Croatia,8,900.0
Romania,Hungary,8,700.0
Serbia,Hungary,8,600.0
Slovakia,Hungary,8,800.0
Slovenia,Italy,8,295.0
Latvia,Lithuania,8,1400.0
Serbia,Macedonia,8,425.0
Sweden,Poland,8,350.0
Slovakia,Poland,8,500.0
Serbia,Romania,8,475.0
GreatBrit.,Belgium,8,0.0
Netherlands,GreatBrit.,8,1000.0
Sweden,Lithuania,8,0.0
Netherlands,Denmark,8,0.0
Poland,Lithuania,8,700.0
GreatBrit.,Denmark,8,1400.0
Italy,BosniaH,8,0.0
Italy,Croatia,8,0.0
Slovakia,Austria,8,0.0
Germany,Belgium,8,0.0
Italy,Germany,8,0.0
Poland,Denmark,8,0.0
Sweden,Estonia,8,0.0
Ireland,Spain,8,0.0
Ireland,France,8,0.0
Luxemb.,France,8,0.0
Poland,Hungary,8,0.0
Slovenia,Hungary,8,0.0
Sweden,Latvia,8,0.0
NO2,Germany,1,0.0
NO2,Denmark,1,1640.0
NO4,Finland,1,110.0
NO2,Netherlands,1,700.0
NO2,GreatBrit.,1,1400.0
NO2,Belgium,1,0.0
NO2,NO1,1,2000.0
NO3,NO1,1,100.0
NO5,NO1,1,1600.0
NO5,NO2,1,300.0
NO4,NO3,1,350.0
NO5,NO3,1,160.0
NO2,Germany,2,0.0
NO2,Denmark,2,1640.0
NO4,Finland,2,110.0
NO2,Netherlands,2,700.0
NO2,GreatBrit.,2,1400.0
NO2,Belgium,2,0.0
NO2,NO1,2,2000.0
NO3,NO1,2,100.0
NO5,NO1,2,1600.0
NO5,NO2,2,300.0
NO4,NO3,2,350.0
NO5,NO3,2,160.0
NO2,Germany,3,0.0
NO2,Denmark,3,1640.0
NO4,Finland,3,110.0
NO2,Netherlands,3,700.0
NO2,GreatBrit.,3,1400.0
NO2,Belgium,3,0.0
NO2,NO1,3,2000.0
NO3,NO1,3,100.0
NO5,NO1,3,1600.0
NO5,NO2,3,300.0
NO4,NO3,3,350.0
NO5,NO3,3,160.0
NO2,Germany,4,0.0
NO2,Denmark,4,1640.0
NO4,Finland,4,110.0
NO2,Netherlands,4,700.0
NO2,GreatBrit.,4,1400.0
NO2,Belgium,4,0.0
NO2,NO1,4,2000.0
NO3,NO1,4,100.0
NO5,NO1,4,1600.0
NO5,NO2,4,300.0
NO4,NO3,4,350.0
NO5,NO3,4,160.0
NO2,Germany,5,0.0
NO2,Denmark,5,1640.0
NO4,Finland,5,110.0
NO2,Netherlands,5,700.0
NO2,GreatBrit.,5,1400.0
NO2,Belgium,5,0.0
NO2,NO1,5,2000.0
NO3,NO1,5,100.0
NO5,NO1,5,1600.0
NO5,NO2,5,300.0
NO4,NO3,5,350.0
NO5,NO3,5,160.0
NO2,Germany,6,0.0
NO2,Denmark,6,1640.0
NO4,Finland,6,110.0
NO2,Netherlands,6,700.0
NO2,GreatBrit.,6,1400.0
NO2,Belgium,6,0.0
NO2,NO1,6,2000.0
NO3,NO1,6,100.0
NO5,NO1,6,1600.0
NO5,NO2,6,300.0
NO4,NO3,6,350.0
NO5,NO3,6,160.0
NO2,Germany,7,0.0
NO2,Denmark,7,1640.0
NO4,Finland,7,110.0
NO2,Netherlands,7,700.0
NO2,GreatBrit.,7,1400.0
NO2,Belgium,7,0.0
NO2,NO1,7,2000.0
NO3,NO1,7,100.0
NO5,NO1,7,1600.0
NO5,NO2,7,300.0
NO4,NO3,7,350.0
NO5,NO3,7,160.0
NO2,Germany,8,0.0
NO2,Denmark,8,1640.0
NO4,Finland,8,110.0
NO2,Netherlands,8,700.0
NO2,GreatBrit.,8,1400.0
NO2,Belgium,8,0.0
NO2,NO1,8,2000.0
NO3,NO1,8,100.0
NO5,NO1,8,1600.0
NO5,NO2,8,300.0
NO4,NO3,8,350.0
NO5,NO3,8,160.0
Sweden,NO1,1,1200.0
Sweden,NO3,1,650.0
Sweden,NO4,1,600.0
Sweden,NO1,2,1200.0
Sweden,NO3,2,650.0
Sweden,NO4,2,600.0
Sweden,NO1,3,1200.0
Sweden,NO3,3,650.0
Sweden,NO4,3,600.0
Sweden,NO1,4,1200.0
Sweden,NO3,4,650.0
Sweden,NO4,4,600.0
Sweden,NO1,5,1200.0
Sweden,NO3,5,650.0
Sweden,NO4,5,600.0
Sweden,NO1,6,1200.0
Sweden,NO3,6,650.0
Sweden,NO4,6,600.0
Sweden,NO1,7,1200.0
Sweden,NO3,7,650.0
Sweden,NO4,7,600.0
Sweden,NO1,8,1200.0
Sweden,NO3,8,650.0
Sweden,NO4,8,600.0
NO5,GreatBrit.,1,0.0
NO5,GreatBrit.,2,0.0
NO5,GreatBrit.,3,0.0
NO5,GreatBrit.,4,0.0
NO5,GreatBrit.,5,0.0
NO5,GreatBrit.,6,0.0
NO5,GreatBrit.,7,0.0
NO5,GreatBrit.,8,0.0
