Nodes,StorageTypes,Period,EnergyInitialCapacity
BosniaH,HydroPumpStorage,7,2199.34
Belgium,HydroPumpStorage,7,7762.5
Bulgaria,HydroPumpStorage,7,1499.2
Switzerland,HydroPumpStorage,7,368989.0
CzechR,HydroPumpStorage,7,6723.5
Germany,HydroPumpStorage,7,38626.0
Spain,HydroPumpStorage,7,1530150.91
France,HydroPumpStorage,7,184296.0
GreatBrit.,HydroPumpStorage,7,33432.0
Greece,HydroPumpStorage,7,21190.44
Croatia,HydroPumpStorage,7,21190.44
Hungary,HydroPumpStorage,7,1499.2
Ireland,HydroPumpStorage,7,2199.34
Italy,HydroPumpStorage,7,38626.0
Lithuania,HydroPumpStorage,7,49280.0
Luxemb.,HydroPumpStorage,7,6120.0
NO1,HydroPumpStorage,7,1417.4082
NO2,HydroPumpStorage,7,3598.0362
NO3,HydroPumpStorage,7,1635.4709999999998
NO4,HydroPumpStorage,7,1962.5651999999998
NO5,HydroPumpStorage,7,2289.6594
Poland,HydroPumpStorage,7,10903.14
Portugal,HydroPumpStorage,7,107254.08
Romania,HydroPumpStorage,7,3686.3928
Serbia,HydroPumpStorage,7,21190.44
Sweden,HydroPumpStorage,7,2199.34
Slovakia,HydroPumpStorage,7,3686.3928
Austria,HydroPumpStorage,8,124704.0
BosniaH,HydroPumpStorage,8,2199.34
Belgium,HydroPumpStorage,8,7762.5
Bulgaria,HydroPumpStorage,8,1499.2
Switzerland,HydroPumpStorage,8,368989.0
CzechR,HydroPumpStorage,8,6723.5
Germany,HydroPumpStorage,8,38626.0
Spain,HydroPumpStorage,8,1530150.91
France,HydroPumpStorage,8,184296.0
GreatBrit.,HydroPumpStorage,8,33432.0
Greece,HydroPumpStorage,8,21190.44
Croatia,HydroPumpStorage,8,21190.44
Hungary,HydroPumpStorage,8,1499.2
Ireland,HydroPumpStorage,8,2199.34
Italy,HydroPumpStorage,8,38626.0
Lithuania,HydroPumpStorage,8,49280.0
Luxemb.,HydroPumpStorage,8,6120.0
NO1,HydroPumpStorage,8,1417.4082
NO2,HydroPumpStorage,8,3598.0362
NO3,HydroPumpStorage,8,1635.4709999999998
NO4,HydroPumpStorage,8,1962.5651999999998
NO5,HydroPumpStorage,8,2289.6594
Poland,HydroPumpStorage,8,10903.14
Portugal,HydroPumpStorage,8,107254.08
Romania,HydroPumpStorage,8,3686.3928
Serbia,HydroPumpStorage,8,21190.44
Sweden,HydroPumpStorage,8,2199.34
Slovakia,HydroPumpStorage,8,3686.3928
Slovenia,HydroPumpStorage,2,2700.0
Slovenia,HydroPumpStorage,3,2700.0
Slovenia,HydroPumpStorage,4,2700.0
Slovenia,HydroPumpStorage,5,2700.0
Slovenia,HydroPumpStorage,6,2700.0
Slovenia,HydroPumpStorage,7,2700.0
Slovenia,HydroPumpStorage,8,2700.0
