Nodes,StorageTypes,Period,InitialPowerCapacity
Poland,HydroPumpStorage,8,1591.0
Portugal,HydroPumpStorage,8,2827.0
Romania,HydroPumpStorage,8,357.0
Serbia,HydroPumpStorage,8,642.0
Sweden,HydroPumpStorage,8,100.0
Slovakia,HydroPumpStorage,8,1016.0
Slovenia,HydroPumpStorage,2,180.0
Slovenia,HydroPumpStorage,3,180.0
Slovenia,HydroPumpStorage,4,180.0
Slovenia,HydroPumpStorage,5,180.0
Slovenia,HydroPumpStorage,6,180.0
Slovenia,HydroPumpStorage,7,180.0
Slovenia,HydroPumpStorage,8,180.0
