Node,GeneratorTechnology,generatoReferenceInitialCapacity_in_MW
Estonia,Gasexisting,200.0
Estonia,Oilexisting,2162.0
Estonia,Waste,20.0
Estonia,Bioexisting,92.0
Estonia,Hydrorun-of-the-river,9.0
Estonia,Windonshore,341.0
Estonia,Solar,9.0
Spain,Liginiteexisting,1124.0
Spain,Coalexisting,8975.0
Spain,Gasexisting,31184.0
Spain,Oilexisting,3235.0
Spain,Bioexisting,876.0
Spain,Nuclear,7117.0
Spain,Waste,680.0
Spain,Hydroregulated,12034.0
Spain,Hydrorun-of-the-river,1942.0
Spain,Windonshore,23507.0
Spain,Solar,4714.0
Finland,Coalexisting,3747.0
Finland,Gasexisting,1912.0
Finland,Oilexisting,1434.0
Finland,Bioexisting,2061.0
Finland,Waste,158.0
Finland,Nuclear,2785.0
Finland,Hydrorun-of-the-river,3148.0
Finland,Windonshore,2013.0
Finland,Solar,113.0
France,Coalexisting,2997.0
France,Gasexisting,12151.0
France,Oilexisting,3441.0
France,Waste,883.0
France,Bioexisting,2871.0
France,Nuclear,63130.0
France,Wave,240.0
France,Hydrorun-of-the-river,21092.0
France,Windonshore,15084.0
France,Solar,8526.0
GreatBrit.,Coalexisting,10860.0
GreatBrit.,Gasexisting,30176.0
GreatBrit.,Oilexisting,882.0
GreatBrit.,Waste,5.0
GreatBrit.,Bioexisting,2017.0
GreatBrit.,Nuclear,9160.0
GreatBrit.,Hydroregulated,86.0
GreatBrit.,Hydrorun-of-the-river,963.0
GreatBrit.,Windonshore,13604.0
GreatBrit.,Windoffshore,6610.0
GreatBrit.,Solar,13100.0
Greece,Liginiteexisting,3904.0
Greece,Gasexisting,4269.0
Greece,Bioexisting,290.0
Greece,Hydroregulated,2470.0
Greece,Hydrorun-of-the-river,230.0
Greece,Windonshore,2082.0
Greece,Solar,2448.0
Croatia,Coalexisting,955.0
Croatia,Gasexisting,743.0
Croatia,Waste,6.0
Croatia,Bioexisting,85.0
Croatia,Oilexisting,320.0
Croatia,Hydrorun-of-the-river,426.0
Croatia,Hydroregulated,1388.0
Croatia,Windonshore,556.0
Croatia,Solar,52.0
Hungary,Liginiteexisting,1049.0
Hungary,Gasexisting,4042.0
Hungary,Oilexisting,412.0
Hungary,Bioexisting,319.0
Hungary,Nuclear,1899.0
Hungary,Hydroregulated,28.0
Hungary,Hydrorun-of-the-river,28.0
Hungary,Windonshore,325.0
Hungary,Solar,336.0
Ireland,Liginiteexisting,228.0
Ireland,Coalexisting,855.0
Ireland,Gasexisting,4215.0
Ireland,Waste,80.0
Ireland,Oilexisting,916.0
Ireland,Bioexisting,507.0
Ireland,Hydrorun-of-the-river,238.0
Ireland,Windonshore,3080.0
Ireland,Solar,222.0
Italy,Coalexisting,8749.0
Italy,Gasexisting,52086.0
Italy,Oilexisting,8599.0
Italy,Waste,424.0
Italy,Bioexisting,2934.0
Italy,Geo,962.0
Italy,Hydroregulated,5162.0
Italy,Hydrorun-of-the-river,12768.0
Italy,Windonshore,10310.0
Italy,Solar,20120.0
Lithuania,Liginiteexisting,1229.0
Lithuania,Gasexisting,568.0
Lithuania,Waste,20.0
Lithuania,Bioexisting,93.0
Lithuania,Hydrorun-of-the-river,127.0
Lithuania,Windonshore,533.0
Lithuania,Solar,83.0
Luxemb.,Gasexisting,136.0
Luxemb.,Waste,21.0
Luxemb.,Bioexisting,11.0
Luxemb.,Hydroregulated,17.0
Luxemb.,Windonshore,120.0
Luxemb.,Solar,128.0
Latvia,Gasexisting,1121.0
Latvia,Bioexisting,74.0
Latvia,Hydrorun-of-the-river,1557.0
Latvia,Windonshore,77.0
Latvia,Solar,1.0
Macedonia,Liginiteexisting,718.0
Macedonia,Gasexisting,250.0
Macedonia,Oilexisting,189.0
Macedonia,Bioexisting,7.0
Macedonia,Hydroregulated,567.0
Macedonia,Hydrorun-of-the-river,109.0
Macedonia,Windonshore,37.0
Macedonia,Solar,0.0
Netherlands,Coalexisting,4631.0
Netherlands,Gasexisting,15570.0
Netherlands,Bioexisting,485.0
Netherlands,Nuclear,486.0
Netherlands,Waste,758.0
Netherlands,Hydrorun-of-the-river,38.0
Netherlands,Windonshore,3669.0
Netherlands,Windoffshore,957.0
Netherlands,Solar,3937.0
Poland,Liginiteexisting,8049.0
Poland,Coalexisting,19195.0
Poland,Gasexisting,2972.0
Poland,Oilexisting,379.0
Poland,Bioexisting,914.0
Poland,Waste,57.0
Poland,Hydroregulated,177.0
Poland,Hydrorun-of-the-river,402.0
Poland,Windonshore,5608.0
Poland,Solar,399.0
Portugal,Coalexisting,1774.0
Portugal,Gasexisting,4609.0
Portugal,Oilexisting,14.0
Portugal,Bioexisting,658.0
Portugal,Hydroregulated,1515.0
Portugal,Hydrorun-of-the-river,2880.0
Portugal,Windonshore,5150.0
Portugal,Solar,558.0
Romania,Liginiteexisting,3341.0
Romania,Coalexisting,2610.0
Romania,Gasexisting,1826.0
Romania,Bioexisting,121.0
Romania,Nuclear,1300.0
Romania,Hydroregulated,3209.0
Romania,Hydrorun-of-the-river,2763.0
Romania,Windonshore,2977.0
Romania,Solar,1262.0
Serbia,Liginiteexisting,5928.0
Serbia,Gasexisting,208.0
Serbia,Hydrorun-of-the-river,1990.0
Serbia,Hydroregulated,401.0
Serbia,Windonshore,239.0
Sweden,Coalexisting,325.0
Sweden,Gasexisting,849.0
Sweden,Oilexisting,2695.0
Sweden,Bioexisting,3145.0
Sweden,Waste,445.0
Sweden,Nuclear,8614.0
Sweden,Hydroregulated,16630.0
Sweden,Solar,411.0
Sweden,Windonshore,7205.0
Slovenia,Liginiteexisting,1092.0
Slovenia,Gasexisting,519.0
Slovenia,Bioexisting,48.0
Slovenia,Waste,8.0
Slovenia,Nuclear,696.0
Slovenia,Hydrorun-of-the-river,1122.0
Slovenia,Windonshore,3.0
Slovenia,Solar,290.0
Slovakia,Liginiteexisting,764.0
Slovakia,Coalexisting,221.0
Slovakia,Gasexisting,1111.0
Slovakia,Oilexisting,257.0
Slovakia,Bioexisting,340.0
Slovakia,Waste,19.0
Slovakia,Nuclear,1940.0
Slovakia,Hydrorun-of-the-river,1208.0
Slovakia,Hydroregulated,318.0
Slovakia,Windonshore,3.0
Slovakia,Solar,531.0
NO1,Gasexisting,70.46000000000001
NO1,Waste,0.0
NO1,Bioexisting,7.800000000000001
NO1,Hydroregulated,3300.05
NO1,Hydrorun-of-the-river,754.13
NO1,Windonshore,227.37
NO1,Solar,5.8500000000000005
NO2,Gasexisting,178.86
NO2,Waste,0.0
NO2,Bioexisting,19.8
NO2,Hydroregulated,8377.050000000001
NO2,Hydrorun-of-the-river,1914.3300000000002
NO2,Windonshore,577.1700000000001
NO2,Solar,14.850000000000001
NO3,Gasexisting,81.3
NO3,Waste,0.0
NO3,Bioexisting,9.0
NO3,Hydroregulated,3807.75
NO3,Hydrorun-of-the-river,870.15
NO3,Windonshore,262.34999999999997
NO3,Solar,6.75
NO4,Gasexisting,97.56
NO4,Waste,0.0
NO4,Bioexisting,10.799999999999999
NO4,Hydroregulated,4569.3
NO4,Hydrorun-of-the-river,1044.18
NO4,Windonshore,314.82
NO4,Solar,8.1
NO5,Gasexisting,113.82
NO5,Waste,0.0
NO5,Bioexisting,12.6
NO5,Hydroregulated,5330.849999999999
NO5,Hydrorun-of-the-river,1218.21
NO5,Windonshore,367.28999999999996
NO5,Solar,9.45
