GeneratorTechnology,Period,generatorTypeFuelCost_in_euro_per_GJ
Bio10cofiring,5,4.602325512131489
Bio10cofiringCCS,5,4.602325512131489
Nuclear,5,1.126162419264
Wave,5,0.0
Geo,5,0.0
Hydroregulated,5,0.0
Hydrorun-of-the-river,5,0.0
Bio,5,12.046614800000008
Windonshore,5,0.0
Windoffshore,5,0.0
Solar,5,0.0
Liginiteexisting,6,1.5
Lignite,6,1.5
LigniteCCSadv,6,1.5
LigniteCCSsup,6,1.5
Coalexisting,6,3.9116825229286527
Coal,6,3.9116825229286527
CoalCCSadv,6,3.9116825229286527
CoalCCS,6,3.9116825229286527
Gasexisting,6,10.665160348292561
GasOCGT,6,10.665160348292561
GasCCGT,6,10.665160348292561
GasCCSadv,6,10.665160348292561
GasCCS,6,10.665160348292561
Oilexisting,6,17.7
Bioexisting,6,13.25127628000001
Bio10cofiring,6,4.8456418986357885
Bio10cofiringCCS,6,4.8456418986357885
Nuclear,6,1.14868566764928
Wave,6,0.0
Geo,6,0.0
Hydroregulated,6,0.0
Hydrorun-of-the-river,6,0.0
Bio,6,13.25127628000001
Windonshore,6,0.0
Windoffshore,6,0.0
Solar,6,0.0
Liginiteexisting,7,1.5
Lignite,7,1.5
LigniteCCSadv,7,1.5
LigniteCCSsup,7,1.5
Coalexisting,7,4.020680066959919
Coal,7,4.020680066959919
CoalCCSadv,7,4.020680066959919
CoalCCS,7,4.020680066959919
Gasexisting,7,10.82962251191944
GasOCGT,7,10.82962251191944
GasCCGT,7,10.82962251191944
GasCCSadv,7,10.82962251191944
GasCCS,7,10.82962251191944
Oilexisting,7,18.1
Bioexisting,7,14.576403908000012
Bio10cofiring,7,5.076252451063929
Bio10cofiringCCS,7,5.076252451063929
Nuclear,7,1.1716593810022657
Wave,7,0.0
Geo,7,0.0
Hydroregulated,7,0.0
Hydrorun-of-the-river,7,0.0
Bio,7,14.576403908000012
Windonshore,7,0.0
Windoffshore,7,0.0
Solar,7,0.0
Liginiteexisting,8,1.5
Lignite,8,1.5
LigniteCCSadv,8,1.5
LigniteCCSsup,8,1.5
Coalexisting,8,4.020680066959919
Coal,8,4.020680066959919
CoalCCSadv,8,4.020680066959919
CoalCCS,8,4.020680066959919
Gasexisting,8,10.82962251191944
GasOCGT,8,10.82962251191944
GasCCGT,8,10.82962251191944
GasCCSadv,8,10.82962251191944
GasCCS,8,10.82962251191944
Oilexisting,8,18.1
Bioexisting,8,14.576403908000012
Bio10cofiring,8,5.076252451063929
Bio10cofiringCCS,8,5.076252451063929
Nuclear,8,1.1716593810022657
Wave,8,0.0
Geo,8,0.0
Hydroregulated,8,0.0
Hydrorun-of-the-river,8,0.0
Bio,8,14.576403908000012
Windonshore,8,0.0
Windoffshore,8,0.0
Solar,8,0.0
Waste,1,0.0
Waste,2,0.0
Waste,3,0.0
Waste,4,0.0
Waste,5,0.0
Waste,6,0.0
Waste,7,0.0
Waste,8,0.0
