Node,GeneratorTechnology,generatorMaxInstallCapacity__in_MW
Latvia,Hcoal,200000.0
Netherlands,Hcoal,200000.0
Poland,Hcoal,200000.0
Portugal,Hcoal,200000.0
Romania,Hcoal,200000.0
Sweden,Hcoal,200000.0
Slovenia,Hcoal,200000.0
Slovakia,Hcoal,200000.0
Austria,Hydro_reg,4530.309311830878
BosniaH,Hydro_reg,1587.0
Bulgaria,Hydro_reg,4624.735944700461
Switzerland,Hydro_reg,10150.0
CzechR,Hydro_reg,1298.5227272727273
Germany,Hydro_reg,2211.2
Spain,Hydro_reg,39940.91973876953
Finland,Hydro_reg,6542.590642306053
France,Hydro_reg,20711.65593789937
GreatBrit.,Hydro_reg,7219.0
Greece,Hydro_reg,3070.5
Hungary,Hydro_reg,46.0
Croatia,Hydro_reg,1407.0
Ireland,Hydro_reg,296.0
Italy,Hydro_reg,12830.050171000099
Lithuania,Hydro_reg,259.0
Luxemb.,Hydro_reg,45.6875
Macedonia,Hydro_reg,503.0
NO1,Hydro_reg,3950.7520000000004
NO2,Hydro_reg,10028.832
NO3,Hydro_reg,4558.56
NO4,Hydro_reg,5470.272
NO5,Hydro_reg,6381.984
Poland,Hydro_reg,600.8852957135106
Portugal,Hydro_reg,16114.3381474104
Romania,Hydro_reg,11223.445046821094
Serbia,Hydro_reg,714.741218319253
Sweden,Hydro_reg,11477.2
Slovakia,Hydro_reg,2684.0
Austria,Hydro_ror,11225.3
BosniaH,Hydro_ror,85.0
Belgium,Hydro_ror,362.3
Bulgaria,Hydro_ror,326.26405529953917
Switzerland,Hydro_ror,7127.0
CzechR,Hydro_ror,459.47727272727275
Germany,Hydro_ror,4151.359011482777
Denmark,Hydro_ror,9.0
Estonia,Hydro_ror,13.0
Spain,Hydro_ror,9518.080261230469
Finland,Hydro_ror,523.0
France,Hydro_ror,15718.688124201259
GreatBrit.,Hydro_ror,3309.558659217877
Greece,Hydro_ror,1575.0
Croatia,Hydro_ror,495.0
Hungary,Hydro_ror,194.0
Ireland,Hydro_ror,32.0
Italy,Hydro_ror,8508.1996579998
Lithuania,Hydro_ror,150.0
Luxemb.,Hydro_ror,40.3125
Latvia,Hydro_ror,1676.0
Netherlands,Hydro_ror,227.0
NO1,Hydro_ror,1950.0
NO2,Hydro_ror,4950.0
NO3,Hydro_ror,2250.0
NO4,Hydro_ror,2700.0
NO5,Hydro_ror,3150.0
Poland,Hydro_ror,1752.0147042864896
Portugal,Hydro_ror,29427.66185258964
Romania,Hydro_ror,6707.554953178906
Serbia,Hydro_ror,3530.5
Sweden,Hydro_ror,6559.037777777778
Slovenia,Hydro_ror,3574.0
BosniaH,Lignite,200000.0
Bulgaria,Lignite,200000.0
CzechR,Lignite,200000.0
Germany,Lignite,200000.0
Greece,Lignite,200000.0
Hungary,Lignite,200000.0
Ireland,Lignite,200000.0
Macedonia,Lignite,200000.0
Poland,Lignite,200000.0
Romania,Lignite,200000.0
Serbia,Lignite,200000.0
Slovenia,Lignite,200000.0
Slovakia,Lignite,200000.0
Bulgaria,Nuclear,2000.0
CzechR,Nuclear,4140.0
Spain,Nuclear,7120.0
Finland,Nuclear,5500.0
France,Nuclear,57644.0
GreatBrit.,Nuclear,4552.0
Hungary,Nuclear,4108.0
Lithuania,Nuclear,1303.0
Netherlands,Nuclear,486.0
Poland,Nuclear,3000.0
Romania,Nuclear,2630.0
Sweden,Nuclear,8000.0
Slovenia,Nuclear,696.0
Slovakia,Nuclear,4000.0
Austria,Oil,200000.0
Belgium,Oil,200000.0
Bulgaria,Oil,200000.0
Switzerland,Oil,200000.0
CzechR,Oil,200000.0
Germany,Oil,200000.0
Denmark,Oil,200000.0
Spain,Oil,200000.0
Finland,Oil,200000.0
France,Oil,200000.0
GreatBrit.,Oil,200000.0
Croatia,Oil,200000.0
Hungary,Oil,200000.0
Ireland,Oil,200000.0
Lithuania,Oil,200000.0
Latvia,Oil,200000.0
Macedonia,Oil,200000.0
Portugal,Oil,200000.0
Romania,Oil,200000.0
Sweden,Oil,200000.0
Slovenia,Oil,200000.0
Slovakia,Oil,200000.0
Austria,Solar,372000.0
BosniaH,Solar,547000.0
Belgium,Solar,561000.0
Bulgaria,Solar,950000.0
Switzerland,Solar,372000.0
CzechR,Solar,693000.0
Germany,Solar,1373000.0
Denmark,Solar,70000.0
Estonia,Solar,112000.0
Spain,Solar,2817000.0
Finland,Solar,1303000.0
France,Solar,1128000.0
GreatBrit.,Solar,1470000.0
Greece,Solar,950000.0
Croatia,Solar,205000.0
Hungary,Solar,205000.0
Ireland,Solar,1470000.0
Italy,Solar,625000.0
Lithuania,Solar,112000.0
Luxemb.,Solar,561000.0
Latvia,Solar,112000.0
Macedonia,Solar,950000.0
Netherlands,Solar,561000.0
NO1,Solar,169390.0
NO2,Solar,429990.0
NO3,Solar,195450.0
NO4,Solar,234540.0
NO5,Solar,273630.0
Poland,Solar,693000.0
Portugal,Solar,2817000.0
Romania,Solar,547000.0
Serbia,Solar,547000.0
Sweden,Solar,1303000.0
Slovenia,Solar,205000.0
Slovakia,Solar,693000.0
Belgium,Wind_offshr,200000.0
Germany,Wind_offshr,200000.0
Denmark,Wind_offshr,200000.0
Estonia,Wind_offshr,200000.0
Spain,Wind_offshr,200000.0
Finland,Wind_offshr,200000.0
France,Wind_offshr,200000.0
GreatBrit.,Wind_offshr,200000.0
Greece,Wind_offshr,200000.0
Ireland,Wind_offshr,200000.0
Italy,Wind_offshr,200000.0
Latvia,Wind_offshr,200000.0
Netherlands,Wind_offshr,200000.0
NO1,Wind_offshr,200000.0
NO2,Wind_offshr,200000.0
NO3,Wind_offshr,200000.0
NO4,Wind_offshr,200000.0
NO5,Wind_offshr,200000.0
Portugal,Wind_offshr,200000.0
Romania,Wind_offshr,200000.0
Sweden,Wind_offshr,200000.0
Austria,Wind_onshr,19302.0
BosniaH,Wind_onshr,17850.0
Belgium,Wind_onshr,17936.0
Bulgaria,Wind_onshr,35000.0
Switzerland,Wind_onshr,2000.0
CzechR,Wind_onshr,33692.0
Germany,Wind_onshr,197304.0
Denmark,Wind_onshr,16000.0
Estonia,Wind_onshr,36776.0
Spain,Wind_onshr,175000.0
Finland,Wind_onshr,30000.0
France,Wind_onshr,202454.0
GreatBrit.,Wind_onshr,76708.0
Greece,Wind_onshr,35000.0
Croatia,Wind_onshr,19600.000000000004
Hungary,Wind_onshr,42000.0
Ireland,Wind_onshr,31500.0
Italy,Wind_onshr,77384.0
Lithuania,Wind_onshr,42736.0
Luxemb.,Wind_onshr,700.0000000000001
Latvia,Wind_onshr,46694.0
Macedonia,Wind_onshr,8750.0
Netherlands,Wind_onshr,20598.0
NO1,Wind_onshr,3640.0
NO2,Wind_onshr,9240.0
NO3,Wind_onshr,4200.0
NO4,Wind_onshr,5040.0
NO5,Wind_onshr,5880.0
Poland,Wind_onshr,178060.0
Portugal,Wind_onshr,28000.0
Romania,Wind_onshr,84000.0
Serbia,Wind_onshr,26950.000000000004
Sweden,Wind_onshr,70000.0
Slovenia,Wind_onshr,7000.0
Slovakia,Wind_onshr,14000.0
Austria,Waste,23.1
BosniaH,Waste,0.0
Belgium,Waste,317.1
Bulgaria,Waste,0.0
Switzerland,Waste,443.1
CzechR,Waste,105.0
Germany,Waste,1873.2
Denmark,Waste,339.15000000000003
Estonia,Waste,21.0
Spain,Waste,714.0
Finland,Waste,165.9
France,Waste,927.1500000000001
GreatBrit.,Waste,5.25
Greece,Waste,0.0
Croatia,Waste,6.300000000000001
Hungary,Waste,0.0
Ireland,Waste,84.0
Italy,Waste,445.20000000000005
Lithuania,Waste,21.0
Luxemb.,Waste,22.05
Latvia,Waste,0.0
Macedonia,Waste,0.0
Netherlands,Waste,795.9
NO1,Waste,0.0
NO2,Waste,0.0
NO3,Waste,0.0
NO4,Waste,0.0
NO5,Waste,0.0
Poland,Waste,59.85
Portugal,Waste,0.0
Romania,Waste,0.0
Serbia,Waste,0.0
Sweden,Waste,467.25
Slovenia,Waste,8.4
Slovakia,Waste,19.95
Estonia,Oil,200000.0
Spain,Lignite,200000.0
Croatia,Bio,200000.0
Lithuania,Lignite,200000.0
Macedonia,Hydro_ror,200.0
Macedonia,Bio,200000.0
Poland,Oil,200000.0
Slovakia,Hydro_ror,1500.0
NO1,Bio,200000.0
NO2,Bio,200000.0
NO3,Bio,200000.0
NO4,Bio,200000.0
NO5,Bio,200000.0
