InterconnectorLinks,ToNode,Period,TransmissionInitialCapacity
Sweden,Estonia,1,0.0
Sweden,Estonia,2,0.0
Sweden,Estonia,3,0.0
Sweden,Estonia,4,0.0
Sweden,Estonia,5,0.0
Sweden,Estonia,6,0.0
Sweden,Estonia,7,0.0
Sweden,Estonia,8,0.0
NO4,Finland,1,0.0
NO4,Finland,2,0.0
NO4,Finland,3,0.0
NO4,Finland,4,0.0
NO4,Finland,5,0.0
NO4,Finland,6,0.0
NO4,Finland,7,0.0
NO4,Finland,8,0.0
Sweden,Finland,1,2300.0
Sweden,Finland,2,2300.0
Sweden,Finland,3,2300.0
Sweden,Finland,4,2300.0
Sweden,Finland,5,2300.0
Sweden,Finland,6,2300.0
Sweden,Finland,7,2300.0
Sweden,Finland,8,2300.0
GreatBrit.,France,1,2000.0
GreatBrit.,France,2,2000.0
GreatBrit.,France,3,2000.0
GreatBrit.,France,4,2000.0
GreatBrit.,France,5,2000.0
GreatBrit.,France,6,2000.0
GreatBrit.,France,7,2000.0
GreatBrit.,France,8,2000.0
Ireland,France,1,0.0
Ireland,France,2,0.0
Ireland,France,3,0.0
Ireland,France,4,0.0
Ireland,France,5,0.0
Ireland,France,6,0.0
Ireland,France,7,0.0
Ireland,France,8,0.0
Italy,France,1,4350.0
Italy,France,2,4350.0
Italy,France,3,4350.0
Italy,France,4,4350.0
Italy,France,5,4350.0
Italy,France,6,4350.0
Italy,France,7,4350.0
Italy,France,8,4350.0
Luxemb.,France,1,380.0
Luxemb.,France,2,380.0
Luxemb.,France,3,380.0
Luxemb.,France,4,380.0
Luxemb.,France,5,380.0
Luxemb.,France,6,380.0
Luxemb.,France,7,380.0
Luxemb.,France,8,380.0
Denmark,Germany,1,2765.0
Denmark,Germany,2,2765.0
Denmark,Germany,3,2765.0
Denmark,Germany,4,2765.0
Denmark,Germany,5,2765.0
Denmark,Germany,6,2765.0
Denmark,Germany,7,2765.0
Denmark,Germany,8,2765.0
France,Germany,1,2300.0
France,Germany,2,2300.0
France,Germany,3,2300.0
France,Germany,4,2300.0
France,Germany,5,2300.0
France,Germany,6,2300.0
France,Germany,7,2300.0
France,Germany,8,2300.0
HelgolanderBucht,Germany,1,6566.0
HelgolanderBucht,Germany,2,6566.0
HelgolanderBucht,Germany,3,6566.0
HelgolanderBucht,Germany,4,6566.0
HelgolanderBucht,Germany,5,6566.0
HelgolanderBucht,Germany,6,6566.0
HelgolanderBucht,Germany,7,6566.0
HelgolanderBucht,Germany,8,6566.0
Luxemb.,Germany,1,2300.0
Luxemb.,Germany,2,2300.0
Luxemb.,Germany,3,2300.0
Luxemb.,Germany,4,2300.0
Luxemb.,Germany,5,2300.0
Luxemb.,Germany,6,2300.0
Luxemb.,Germany,7,2300.0
Luxemb.,Germany,8,2300.0
Netherlands,Germany,1,4250.0
Netherlands,Germany,2,4250.0
Netherlands,Germany,3,4250.0
Netherlands,Germany,4,4250.0
Netherlands,Germany,5,4250.0
Netherlands,Germany,6,4250.0
Netherlands,Germany,7,4250.0
Netherlands,Germany,8,4250.0
NO2,Germany,1,1400.0
NO2,Germany,2,1400.0
NO2,Germany,3,1400.0
NO2,Germany,4,1400.0
NO2,Germany,5,1400.0
NO2,Germany,6,1400.0
NO2,Germany,7,1400.0
NO2,Germany,8,1400.0
Poland,Germany,1,3500.0
Poland,Germany,2,3500.0
Poland,Germany,3,3500.0
Poland,Germany,4,3500.0
Poland,Germany,5,3500.0
Poland,Germany,6,3500.0
Poland,Germany,7,3500.0
Poland,Germany,8,3500.0
Sweden,Germany,1,615.0
Sweden,Germany,2,615.0
Sweden,Germany,3,615.0
Sweden,Germany,4,615.0
Sweden,Germany,5,615.0
Sweden,Germany,6,615.0
Sweden,Germany,7,615.0
Sweden,Germany,8,615.0
DoggerBank,GreatBrit.,1,0.0
DoggerBank,GreatBrit.,2,0.0
DoggerBank,GreatBrit.,3,0.0
DoggerBank,GreatBrit.,4,0.0
DoggerBank,GreatBrit.,5,0.0
DoggerBank,GreatBrit.,6,0.0
DoggerBank,GreatBrit.,7,0.0
DoggerBank,GreatBrit.,8,0.0
EastAnglia,GreatBrit.,1,2812.3
EastAnglia,GreatBrit.,2,2812.3
EastAnglia,GreatBrit.,3,2812.3
EastAnglia,GreatBrit.,4,2812.3
EastAnglia,GreatBrit.,5,2812.3
EastAnglia,GreatBrit.,6,2812.3
EastAnglia,GreatBrit.,7,2812.3
EastAnglia,GreatBrit.,8,2812.3
FirthofForth,GreatBrit.,1,123.2
FirthofForth,GreatBrit.,2,123.2
FirthofForth,GreatBrit.,3,123.2
FirthofForth,GreatBrit.,4,123.2
FirthofForth,GreatBrit.,5,123.2
FirthofForth,GreatBrit.,6,123.2
FirthofForth,GreatBrit.,7,123.2
FirthofForth,GreatBrit.,8,123.2
Hornsea,GreatBrit.,1,1218.0
Hornsea,GreatBrit.,2,1218.0
Hornsea,GreatBrit.,3,1218.0
Hornsea,GreatBrit.,4,1218.0
Hornsea,GreatBrit.,5,1218.0
Hornsea,GreatBrit.,6,1218.0
Hornsea,GreatBrit.,7,1218.0
Hornsea,GreatBrit.,8,1218.0
Ireland,GreatBrit.,1,500.0
Ireland,GreatBrit.,2,500.0
Ireland,GreatBrit.,3,500.0
Ireland,GreatBrit.,4,500.0
Ireland,GreatBrit.,5,500.0
Ireland,GreatBrit.,6,500.0
Ireland,GreatBrit.,7,500.0
Ireland,GreatBrit.,8,500.0
MorayFirth,GreatBrit.,1,588.0
MorayFirth,GreatBrit.,2,588.0
MorayFirth,GreatBrit.,3,588.0
MorayFirth,GreatBrit.,4,588.0
MorayFirth,GreatBrit.,5,588.0
MorayFirth,GreatBrit.,6,588.0
MorayFirth,GreatBrit.,7,588.0
MorayFirth,GreatBrit.,8,588.0
Netherlands,GreatBrit.,1,1000.0
Netherlands,GreatBrit.,2,1000.0
Netherlands,GreatBrit.,3,1000.0
Netherlands,GreatBrit.,4,1000.0
Netherlands,GreatBrit.,5,1000.0
Netherlands,GreatBrit.,6,1000.0
Netherlands,GreatBrit.,7,1000.0
Netherlands,GreatBrit.,8,1000.0
NO2,GreatBrit.,1,0.0
NO2,GreatBrit.,2,0.0
NO2,GreatBrit.,3,0.0
NO2,GreatBrit.,4,0.0
NO2,GreatBrit.,5,0.0
NO2,GreatBrit.,6,0.0
NO2,GreatBrit.,7,0.0
NO2,GreatBrit.,8,0.0
NO5,GreatBrit.,1,0.0
NO5,GreatBrit.,2,0.0
NO5,GreatBrit.,3,0.0
NO5,GreatBrit.,4,0.0
NO5,GreatBrit.,5,0.0
NO5,GreatBrit.,6,0.0
NO5,GreatBrit.,7,0.0
NO5,GreatBrit.,8,0.0
NO5,GreatBrit.,1,0.0
NO5,GreatBrit.,2,0.0
NO5,GreatBrit.,3,0.0
NO5,GreatBrit.,4,0.0
NO5,GreatBrit.,5,0.0
NO5,GreatBrit.,6,0.0
NO5,GreatBrit.,7,0.0
NO5,GreatBrit.,8,0.0
Norfolk,GreatBrit.,1,60.0
Norfolk,GreatBrit.,2,60.0
Norfolk,GreatBrit.,3,60.0
Norfolk,GreatBrit.,4,60.0
Norfolk,GreatBrit.,5,60.0
Norfolk,GreatBrit.,6,60.0
Norfolk,GreatBrit.,7,60.0
Norfolk,GreatBrit.,8,60.0
OuterDowsing,GreatBrit.,1,2185.5
OuterDowsing,GreatBrit.,2,2185.5
OuterDowsing,GreatBrit.,3,2185.5
OuterDowsing,GreatBrit.,4,2185.5
OuterDowsing,GreatBrit.,5,2185.5
OuterDowsing,GreatBrit.,6,2185.5
OuterDowsing,GreatBrit.,7,2185.5
OuterDowsing,GreatBrit.,8,2185.5
Italy,Greece,1,500.0
Italy,Greece,2,500.0
Italy,Greece,3,500.0
Italy,Greece,4,500.0
Italy,Greece,5,500.0
Italy,Greece,6,500.0
Italy,Greece,7,500.0
Italy,Greece,8,500.0
Macedonia,Greece,1,1100.0
Macedonia,Greece,2,1100.0
Macedonia,Greece,3,1100.0
Macedonia,Greece,4,1100.0
Macedonia,Greece,5,1100.0
Macedonia,Greece,6,1100.0
Macedonia,Greece,7,1100.0
Macedonia,Greece,8,1100.0
Romania,Hungary,1,1100.0
Romania,Hungary,2,1100.0
Romania,Hungary,3,1100.0
Romania,Hungary,4,1100.0
Romania,Hungary,5,1100.0
Romania,Hungary,6,1100.0
Romania,Hungary,7,1100.0
Romania,Hungary,8,1100.0
Serbia,Hungary,1,600.0
Serbia,Hungary,2,600.0
Serbia,Hungary,3,600.0
Serbia,Hungary,4,600.0
Serbia,Hungary,5,600.0
Serbia,Hungary,6,600.0
Serbia,Hungary,7,600.0
Serbia,Hungary,8,600.0
Slovakia,Hungary,1,2000.0
Slovakia,Hungary,2,2000.0
Slovakia,Hungary,3,2000.0
Slovakia,Hungary,4,2000.0
Slovakia,Hungary,5,2000.0
Slovakia,Hungary,6,2000.0
Slovakia,Hungary,7,2000.0
Slovakia,Hungary,8,2000.0
Slovenia,Hungary,1,0.0
Slovenia,Hungary,2,0.0
Slovenia,Hungary,3,0.0
Slovenia,Hungary,4,0.0
Slovenia,Hungary,5,0.0
Slovenia,Hungary,6,0.0
Slovenia,Hungary,7,0.0
Slovenia,Hungary,8,0.0
Slovenia,Italy,1,730.0
Slovenia,Italy,2,730.0
Slovenia,Italy,3,730.0
Slovenia,Italy,4,730.0
Slovenia,Italy,5,730.0
Slovenia,Italy,6,730.0
Slovenia,Italy,7,730.0
Slovenia,Italy,8,730.0
Sweden,Latvia,1,0.0
Sweden,Latvia,2,0.0
Sweden,Latvia,3,0.0
Sweden,Latvia,4,0.0
Sweden,Latvia,5,0.0
Sweden,Latvia,6,0.0
Sweden,Latvia,7,0.0
Sweden,Latvia,8,0.0
Latvia,Lithuania,1,1500.0
Latvia,Lithuania,2,1500.0
Latvia,Lithuania,3,1500.0
Latvia,Lithuania,4,1500.0
Latvia,Lithuania,5,1500.0
Latvia,Lithuania,6,1500.0
Latvia,Lithuania,7,1500.0
Latvia,Lithuania,8,1500.0
Poland,Lithuania,1,500.0
Poland,Lithuania,2,500.0
Poland,Lithuania,3,500.0
Poland,Lithuania,4,500.0
Poland,Lithuania,5,500.0
Poland,Lithuania,6,500.0
Poland,Lithuania,7,500.0
Poland,Lithuania,8,500.0
Sweden,Lithuania,1,700.0
Sweden,Lithuania,2,700.0
Sweden,Lithuania,3,700.0
Sweden,Lithuania,4,700.0
Sweden,Lithuania,5,700.0
Sweden,Lithuania,6,700.0
Sweden,Lithuania,7,700.0
Sweden,Lithuania,8,700.0
Serbia,Macedonia,1,800.0
Serbia,Macedonia,2,800.0
Serbia,Macedonia,3,800.0
Serbia,Macedonia,4,800.0
Serbia,Macedonia,5,800.0
Serbia,Macedonia,6,800.0
Serbia,Macedonia,7,800.0
Serbia,Macedonia,8,800.0
Borssele,Netherlands,1,1483.5
Borssele,Netherlands,2,1483.5
Borssele,Netherlands,3,1483.5
Borssele,Netherlands,4,1483.5
Borssele,Netherlands,5,1483.5
Borssele,Netherlands,6,1483.5
Borssele,Netherlands,7,1483.5
Borssele,Netherlands,8,1483.5
HelgolanderBucht,Netherlands,1,600.0
HelgolanderBucht,Netherlands,2,600.0
HelgolanderBucht,Netherlands,3,600.0
HelgolanderBucht,Netherlands,4,600.0
HelgolanderBucht,Netherlands,5,600.0
HelgolanderBucht,Netherlands,6,600.0
HelgolanderBucht,Netherlands,7,600.0
HelgolanderBucht,Netherlands,8,600.0
HollandseeKust,Netherlands,1,357.0
HollandseeKust,Netherlands,2,357.0
HollandseeKust,Netherlands,3,357.0
HollandseeKust,Netherlands,4,357.0
HollandseeKust,Netherlands,5,357.0
HollandseeKust,Netherlands,6,357.0
HollandseeKust,Netherlands,7,357.0
HollandseeKust,Netherlands,8,357.0
NO2,Netherlands,1,723.0
NO2,Netherlands,2,723.0
NO2,Netherlands,3,723.0
NO2,Netherlands,4,723.0
NO2,Netherlands,5,723.0
NO2,Netherlands,6,723.0
NO2,Netherlands,7,723.0
NO2,Netherlands,8,723.0
NO2,NO1,1,3500.0
NO2,NO1,2,3500.0
NO2,NO1,3,3500.0
NO2,NO1,4,3500.0
NO2,NO1,5,3500.0
NO2,NO1,6,3500.0
NO2,NO1,7,3500.0
NO2,NO1,8,3500.0
NO3,NO1,1,500.0
NO3,NO1,2,500.0
NO3,NO1,3,500.0
NO3,NO1,4,500.0
NO3,NO1,5,500.0
NO3,NO1,6,500.0
NO3,NO1,7,500.0
NO3,NO1,8,500.0
NO5,NO1,1,3900.0
NO5,NO1,2,3900.0
NO5,NO1,3,3900.0
NO5,NO1,4,3900.0
NO5,NO1,5,3900.0
NO5,NO1,6,3900.0
NO5,NO1,7,3900.0
NO5,NO1,8,3900.0
Sweden,NO1,1,2145.0
Sweden,NO1,2,2145.0
Sweden,NO1,3,2145.0
Sweden,NO1,4,2145.0
Sweden,NO1,5,2145.0
Sweden,NO1,6,2145.0
Sweden,NO1,7,2145.0
Sweden,NO1,8,2145.0
Sweden,NO1,4,1200.0
Sweden,NO1,5,1200.0
Sweden,NO1,6,1200.0
Sweden,NO1,7,1200.0
Sweden,NO1,8,1200.0
NO5,NO2,1,600.0
NO5,NO2,2,600.0
NO5,NO2,3,600.0
NO5,NO2,4,600.0
NO5,NO2,5,600.0
NO5,NO2,6,600.0
NO5,NO2,7,600.0
NO5,NO2,8,600.0
SorligeNordsjoI,NO2,1,0.0
SorligeNordsjoI,NO2,2,0.0
SorligeNordsjoI,NO2,3,0.0
SorligeNordsjoI,NO2,4,0.0
SorligeNordsjoI,NO2,5,0.0
SorligeNordsjoI,NO2,6,0.0
SorligeNordsjoI,NO2,7,0.0
SorligeNordsjoI,NO2,8,0.0
SorligeNordsjoII,NO2,1,0.0
SorligeNordsjoII,NO2,2,0.0
SorligeNordsjoII,NO2,3,0.0
SorligeNordsjoII,NO2,4,0.0
SorligeNordsjoII,NO2,5,0.0
SorligeNordsjoII,NO2,6,0.0
SorligeNordsjoII,NO2,7,0.0
SorligeNordsjoII,NO2,8,0.0
UtsiraNord,NO2,1,0.0
UtsiraNord,NO2,2,0.0
UtsiraNord,NO2,3,0.0
UtsiraNord,NO2,4,0.0
UtsiraNord,NO2,5,0.0
UtsiraNord,NO2,6,0.0
UtsiraNord,NO2,7,0.0
UtsiraNord,NO2,8,0.0
NO4,NO3,1,1200.0
NO4,NO3,2,1200.0
NO4,NO3,3,1200.0
NO4,NO3,4,1200.0
NO4,NO3,5,1200.0
NO4,NO3,6,1200.0
NO4,NO3,7,1200.0
NO4,NO3,8,1200.0
NO5,NO3,1,500.0
NO5,NO3,2,500.0
NO5,NO3,3,500.0
NO5,NO3,4,500.0
NO5,NO3,5,500.0
NO5,NO3,6,500.0
NO5,NO3,7,500.0
NO5,NO3,8,500.0
Sweden,NO3,1,1000.0
Sweden,NO3,2,1000.0
Sweden,NO3,3,1000.0
Sweden,NO3,4,1000.0
Sweden,NO3,5,1000.0
Sweden,NO3,6,1000.0
Sweden,NO3,7,1000.0
Sweden,NO3,8,1000.0
Sweden,NO3,4,650.0
Sweden,NO3,5,650.0
Sweden,NO3,6,650.0
Sweden,NO3,7,650.0
Sweden,NO3,8,650.0
Sweden,NO4,1,300.0
Sweden,NO4,2,300.0
Sweden,NO4,3,300.0
Sweden,NO4,4,300.0
Sweden,NO4,5,300.0
Sweden,NO4,6,300.0
Sweden,NO4,7,300.0
Sweden,NO4,8,300.0
Sweden,NO4,3,600.0
Sweden,NO4,4,600.0
Sweden,NO4,5,600.0
Sweden,NO4,6,600.0
Sweden,NO4,7,600.0
Sweden,NO4,8,600.0
Slovakia,Poland,1,990.0
Slovakia,Poland,2,990.0
Slovakia,Poland,3,990.0
Slovakia,Poland,4,990.0
Slovakia,Poland,5,990.0
Slovakia,Poland,6,990.0
Slovakia,Poland,7,990.0
Slovakia,Poland,8,990.0
Sweden,Poland,1,600.0
Sweden,Poland,2,600.0
Sweden,Poland,3,600.0
Sweden,Poland,4,600.0
Sweden,Poland,5,600.0
Sweden,Poland,6,600.0
Sweden,Poland,7,600.0
Sweden,Poland,8,600.0
Serbia,Romania,1,1132.0
Serbia,Romania,2,1132.0
Serbia,Romania,3,1132.0
Serbia,Romania,4,1132.0
Serbia,Romania,5,1132.0
Serbia,Romania,6,1132.0
Serbia,Romania,7,1132.0
Serbia,Romania,8,1132.0
France,Spain,1,2800.0
France,Spain,2,2800.0
France,Spain,3,2800.0
France,Spain,4,2800.0
France,Spain,5,2800.0
France,Spain,6,2800.0
France,Spain,7,2800.0
France,Spain,8,2800.0
Ireland,Spain,1,0.0
Ireland,Spain,2,0.0
Ireland,Spain,3,0.0
Ireland,Spain,4,0.0
Ireland,Spain,5,0.0
Ireland,Spain,6,0.0
Ireland,Spain,7,0.0
Ireland,Spain,8,0.0
Portugal,Spain,1,4200.0
Portugal,Spain,2,4200.0
Portugal,Spain,3,4200.0
Portugal,Spain,4,4200.0
Portugal,Spain,5,4200.0
Portugal,Spain,6,4200.0
Portugal,Spain,7,4200.0
Portugal,Spain,8,4200.0
France,Switzerland,1,3150.0
France,Switzerland,2,2750.0
France,Switzerland,3,2750.0
France,Switzerland,4,2750.0
France,Switzerland,5,2750.0
France,Switzerland,6,2750.0
France,Switzerland,7,2750.0
France,Switzerland,8,2750.0
Germany,Switzerland,1,4600.0
Germany,Switzerland,2,4600.0
Germany,Switzerland,3,4600.0
Germany,Switzerland,4,4600.0
Germany,Switzerland,5,4600.0
Germany,Switzerland,6,4600.0
Germany,Switzerland,7,4600.0
Germany,Switzerland,8,4600.0
Italy,Switzerland,1,4240.0
Italy,Switzerland,2,4240.0
Italy,Switzerland,3,4240.0
Italy,Switzerland,4,4240.0
Italy,Switzerland,5,4240.0
Italy,Switzerland,6,4240.0
Italy,Switzerland,7,4240.0
Italy,Switzerland,8,4240.0
