Nodes,Period,ElectricAdjustment_in_MWh
Slovakia,2,30638678.117615346
Austria,3,75002809.93672663
BosniaH,3,13266957.507082153
Belgium,3,92675431.3386184
Bulgaria,3,31852147.09048953
Switzerland,3,66404782.59851623
CzechR,3,67912797.2477386
Germany,3,569121607.8382292
Denmark,3,37665490.55578341
Estonia,3,8565953.593036171
Spain,3,261245146.51357353
Finland,3,85529100.3528346
France,3,488720364.8271361
GreatBrit.,3,365414903.3367297
Greece,3,51819609.599764474
Croatia,3,17207413.70829889
Hungary,3,41075484.6680941
Ireland,3,28145265.6126625
Italy,3,318721573.6580507
Lithuania,3,10953274.115235621
Luxemb.,3,8324375.271309833
Latvia,3,8592392.844900424
Macedonia,3,9794538.95184136
Netherlands,3,118525238.72568303
NO1,3,41310000.0
NO2,3,41310000.0
NO3,3,30600000.0
NO4,3,21420000.000000004
NO5,3,18360000.0
Poland,3,176687917.28722173
Portugal,3,48415369.059670985
Romania,3,55946733.47236017
Serbia,3,43550422.096317284
Sweden,3,147531163.9789818
Slovenia,3,15158293.896872295
Slovakia,3,32271644.043966338
Austria,4,79301250.97019376
BosniaH,4,13973280.453257792
Belgium,4,99351596.06121676
Bulgaria,4,32676782.611798726
Switzerland,4,66922710.131354995
CzechR,4,71447526.82083753
Germany,4,577015201.8220944
Denmark,4,39857237.891360916
Estonia,4,8524857.771873517
Spain,4,270853027.4305888
Finland,4,88007475.4859037
France,4,520780604.270357
GreatBrit.,4,383688809.3557601
Greece,4,54725165.82547192
Croatia,4,18330052.69776641
Hungary,4,43989099.58625237
Ireland,4,30152270.961158443
Italy,4,338696255.39732903
Lithuania,4,11197950.249672454
Luxemb.,4,9322977.420878494
Latvia,4,9024922.534420533
Macedonia,4,10315992.917847024
Netherlands,4,120946624.04607764
NO1,4,42120000.0
NO2,4,42120000.0
NO3,4,31200000.0
NO4,4,21840000.000000004
NO5,4,18720000.0
Poland,4,182905919.94822943
Portugal,4,49996632.76279319
Romania,4,58729640.42627527
Serbia,4,45869014.164305955
Sweden,4,154223581.80789483
Slovenia,4,15702909.172326798
Slovakia,4,34650485.31469627
Austria,5,84942493.47153418
BosniaH,5,14620033.994334277
Belgium,5,108031489.40671732
Bulgaria,5,34338643.984449446
Switzerland,5,67440637.66419375
CzechR,5,77246900.6240043
Germany,5,608702513.952142
Denmark,5,43554333.3967613
Estonia,5,9262827.982593648
Spain,5,292062852.7424808
Finland,5,95466708.04589523
France,5,564595804.3130924
GreatBrit.,5,431965500.5393698
Greece,5,57550751.4532475
Croatia,5,20404530.413878355
Hungary,5,49110505.337406434
Ireland,5,33150729.708497215
Italy,5,372058380.9984673
Lithuania,5,11860676.242115185
Luxemb.,5,10669386.796203317
Latvia,5,10025136.459298695
Macedonia,5,10793468.838526908
Netherlands,5,127544452.7305247
NO1,5,42930000.0
NO2,5,42930000.0
NO3,5,31800000.0
NO4,5,22260000.000000004
NO5,5,19080000.0
Poland,5,205177544.9778879
Portugal,5,53888189.94299152
Romania,5,65146806.94063467
Serbia,5,47992062.32294617
Sweden,5,163963519.5274606
Slovenia,5,17822003.76367851
Slovakia,5,36788815.36056186
Austria,6,89979143.43732385
BosniaH,6,15590164.305949008
Belgium,6,115952873.84252466
Bulgaria,6,36075838.405873016
Switzerland,6,67958565.1970325
CzechR,6,83065100.45868567
Germany,6,639567154.3974477
Denmark,6,47923528.45689345
Estonia,6,9864769.755036978
Spain,6,307055084.07406
Finland,6,102386043.37079245
France,6,587570921.9632821
GreatBrit.,6,470865192.389212
Greece,6,60699027.48410558
Croatia,6,22098322.875672832
Hungary,6,52113435.62568359
Ireland,6,35736777.213262275
Italy,6,393563993.49020404
Lithuania,6,13018807.932697486
Luxemb.,6,11469070.96864402
Latvia,6,10650344.927182319
Macedonia,6,11509682.719546737
Netherlands,6,134876568.97680402
NO1,6,43470000.0
NO2,6,43470000.0
NO3,6,32200000.0
NO4,6,22540000.000000004
NO5,6,19320000.0
Poland,6,219831685.97005913
Portugal,6,58450033.460603155
Romania,6,71567888.6118611
Serbia,6,51176634.56090651
Sweden,6,175638974.81612018
Slovenia,6,19199980.739460133
Slovakia,6,38250329.13018971
Austria,7,93702866.85982552
BosniaH,7,16236917.847025499
Belgium,7,121946603.94455089
Bulgaria,7,37320964.81149598
Switzerland,7,68476492.72987126
CzechR,7,87573369.23886062
Germany,7,646810460.8919566
Denmark,7,50373930.136062704
Estonia,7,10123997.793042615
Spain,7,318979200.4401522
Finland,7,106013436.96844733
France,7,599181647.7722592
GreatBrit.,7,483889644.24583995
Greece,7,60889787.65139057
Croatia,7,23341870.84548945
Hungary,7,53356212.63015797
Ireland,7,38272641.57273432
Italy,7,404009452.0940963
Lithuania,7,13426066.059018796
Luxemb.,7,12039105.93704308
Latvia,7,11161205.649147047
Macedonia,7,11987158.640226625
Netherlands,7,140392820.08690777
NO1,7,44010000.0
NO2,7,44010000.0
NO3,7,32600000.0
NO4,7,22820000.000000004
NO5,7,19560000.0
Poland,7,226439891.33261186
Portugal,7,59639634.01134219
Romania,7,76658137.95394371
Serbia,7,53299682.719546735
Sweden,7,181609679.77235934
Slovenia,7,20433513.64724672
Slovakia,7,38577487.84673392
Austria,8,100262067.54001331
BosniaH,8,17373502.096317284
Belgium,8,130482866.22066946
Bulgaria,8,39933432.3483007
Switzerland,8,73269847.22096226
CzechR,8,93703505.08558087
Germany,8,692087193.1543936
Denmark,8,53900105.245587096
Estonia,8,10832677.6385556
Spain,8,341307744.4709629
Finland,8,113434377.55623865
France,8,641124363.1163174
GreatBrit.,8,517761919.34304875
Greece,8,65152072.78698791
Croatia,8,24975801.804673713
Hungary,8,57091147.51426903
Ireland,8,40951726.482825726
Italy,8,432290113.7406831
Lithuania,8,14365890.683150113
Luxemb.,8,12881843.352636097
Latvia,8,11942490.04458734
Macedonia,8,12826259.74504249
Netherlands,8,150220317.49299133
NO1,8,44550000.0
NO2,8,44550000.0
NO3,8,33000000.0
NO4,8,23100000.000000004
NO5,8,19800000.0
Poland,8,242290683.7258947
Portugal,8,63814408.39213615
Romania,8,82024207.61071979
Serbia,8,57030660.50991501
Sweden,8,194322357.3564245
Slovenia,8,21863859.60255399
Slovakia,8,41277911.9960053
